formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_8
0.0,14.291,1.0,2.0,16.0,29024.1275,3.0,False
1.0,38.551,1.0,4.0,9.0,19265.2506,51.0,False
0.0,13.0193,1.0,2.0,16.0,11125.1928,8.0,False
1.0,35.0919,1.0,1.0,17.0,23488.1813,1.0,False
0.0,49.3981,0.0,4.0,3.0,28223.41,32.0,False
1.0,11.4988,0.0,2.0,8.0,3744.1585,29.0,False
0.0,9.3344,0.0,2.0,7.0,24968.8633,76.0,False
1.0,40.274,0.0,4.0,4.0,14442.3334,86.0,False
0.0,28.5199,1.0,3.0,23.0,8060.3781,40.0,False
0.0,20.7145,1.0,2.0,21.0,14968.5258,75.0,False
1.0,24.1186,0.0,1.0,23.0,5836.2818,13.0,False
1.0,26.1825,1.0,4.0,5.0,27408.3436,19.0,False
0.0,41.7253,1.0,2.0,5.0,2355.6286,91.0,False
0.0,40.0878,1.0,4.0,13.0,33871.3831,21.0,False
1.0,39.0321,1.0,3.0,8.0,6228.5285,28.0,False
0.0,17.311,0.0,3.0,3.0,5194.8156,50.0,False
0.0,30.1062,1.0,4.0,9.0,5012.3263,64.0,False
1.0,14.9678,1.0,3.0,4.0,10317.5923,80.0,False
0.0,5.2359,1.0,4.0,6.0,26003.7747,50.0,False
1.0,25.3942,1.0,2.0,16.0,38864.4691,83.0,False
1.0,47.0305,1.0,2.0,11.0,39001.901,87.0,False
1.0,7.3907,0.0,4.0,19.0,13734.6756,18.0,False
1.0,47.7159,1.0,3.0,0.0,8938.7659,24.0,False
0.0,30.5656,1.0,2.0,14.0,3803.3131,66.0,False
1.0,37.2484,1.0,2.0,22.0,15414.4634,22.0,False
1.0,9.4387,1.0,1.0,14.0,3678.7679,39.0,False
0.0,24.6231,0.0,3.0,2.0,22485.7561,66.0,False
1.0,32.4163,1.0,3.0,19.0,18157.4841,93.0,False
0.0,7.0788,1.0,2.0,0.0,32983.0292,12.0,False
0.0,15.3573,1.0,3.0,22.0,8157.8074,73.0,False
1.0,21.5623,0.0,3.0,7.0,11204.5507,62.0,False
1.0,36.8425,1.0,1.0,1.0,1013.9263,34.0,False
0.0,49.3423,1.0,1.0,0.0,35423.5285,21.0,False
0.0,12.3031,1.0,3.0,12.0,27650.3723,83.0,False
0.0,25.6463,1.0,3.0,4.0,12841.9764,6.0,False
0.0,43.7287,0.0,1.0,19.0,27561.0953,73.0,False
0.0,44.5301,1.0,1.0,19.0,8864.3275,81.0,False
1.0,5.6977,1.0,1.0,14.0,11236.827,82.0,False
0.0,32.523,1.0,4.0,19.0,26813.4927,59.0,False
1.0,10.0874,1.0,1.0,23.0,29335.642,38.0,False
1.0,30.6173,0.0,4.0,12.0,23662.3229,74.0,False
0.0,46.7098,0.0,4.0,2.0,3577.8147,11.0,False
0.0,22.8667,1.0,3.0,10.0,29396.3501,98.0,False
0.0,45.8006,0.0,4.0,17.0,29768.9863,91.0,False
1.0,39.8256,1.0,4.0,16.0,37777.3316,25.0,False
0.0,10.6395,1.0,2.0,12.0,28460.6034,69.0,False
0.0,11.9507,0.0,2.0,18.0,34003.7123,50.0,False
0.0,45.7028,1.0,4.0,17.0,10646.324,10.0,False
1.0,6.6129,1.0,1.0,21.0,13087.4581,2.0,False
1.0,46.5401,1.0,1.0,20.0,3715.4431,15.0,False
1.0,28.1212,0.0,1.0,18.0,23895.8773,40.0,False
0.0,37.6589,0.0,1.0,8.0,24072.5212,68.0,False
0.0,5.4636,0.0,1.0,4.0,14569.0352,68.0,False
0.0,34.384,0.0,4.0,18.0,12299.2351,43.0,False
1.0,46.264,0.0,2.0,6.0,5452.2043,6.0,False
0.0,49.6093,0.0,3.0,21.0,21964.2939,16.0,False
1.0,11.2393,1.0,1.0,16.0,1748.1717,17.0,False
0.0,15.0458,1.0,3.0,16.0,34910.9534,11.0,False
0.0,34.4158,0.0,2.0,6.0,35054.2055,43.0,False
1.0,32.2656,0.0,4.0,9.0,5044.8621,51.0,False
1.0,30.1147,1.0,2.0,22.0,5538.2543,60.0,False
0.0,25.7619,1.0,3.0,19.0,36679.3843,92.0,False
1.0,9.6669,0.0,2.0,22.0,7201.112,56.0,False
1.0,33.4144,0.0,1.0,23.0,18317.7375,36.0,False
1.0,30.7009,0.0,1.0,18.0,23027.1,11.0,False
0.0,43.0181,1.0,4.0,2.0,15734.4327,62.0,False
1.0,44.5932,1.0,1.0,23.0,29567.0476,47.0,False
1.0,49.4542,1.0,1.0,2.0,9030.4393,86.0,False
1.0,29.9624,1.0,3.0,10.0,15051.43,55.0,False
1.0,14.7817,0.0,3.0,12.0,2362.4961,99.0,False
1.0,21.4885,0.0,2.0,10.0,5175.3291,29.0,False
0.0,18.936,1.0,1.0,3.0,6750.3109,82.0,False
1.0,33.4939,0.0,2.0,23.0,38206.6609,99.0,False
1.0,38.042,1.0,4.0,8.0,7950.9089,60.0,False
0.0,48.4422,0.0,3.0,17.0,9056.8448,85.0,False
0.0,36.8952,1.0,2.0,0.0,38371.7244,80.0,False
0.0,43.687,0.0,1.0,3.0,35788.0443,39.0,False
1.0,16.0158,0.0,2.0,14.0,27763.1205,43.0,False
1.0,10.8652,0.0,3.0,8.0,17416.9635,18.0,False
0.0,19.2117,1.0,4.0,15.0,10191.436,49.0,False
1.0,13.8877,1.0,2.0,12.0,39131.7709,97.0,False
1.0,17.5912,1.0,3.0,6.0,35345.9451,37.0,False
0.0,13.5728,0.0,4.0,7.0,36402.9593,15.0,False
0.0,8.3752,1.0,1.0,7.0,10792.1821,97.0,False
1.0,32.558,1.0,3.0,19.0,18820.165,81.0,False
1.0,30.7603,1.0,4.0,14.0,17150.9464,41.0,False
